,ID,Timestamp,Message Length,Punctuation Count,Has Attachments
79,875252633659650118,2021-08-12 05:41:29.272000+00:00,2,0,0
80,875231905170194462,2021-08-12 04:19:07.215000+00:00,35,0,0
81,875231789742952478,2021-08-12 04:18:39.695000+00:00,11,0,0
82,874479347321405490,2021-08-10 02:28:43.442000+00:00,6,0,0
83,874153117426544710,2021-08-09 04:52:24.174000+00:00,12,0,0
84,874153109134393376,2021-08-09 04:52:22.197000+00:00,3,0,1
85,874153056147763300,2021-08-09 04:52:09.564000+00:00,4,0,0
86,874140286601789451,2021-08-09 04:01:25.067000+00:00,5,0,0
87,874140270109798400,2021-08-09 04:01:21.135000+00:00,22,1,0
88,874100421982044210,2021-08-09 01:23:00.601000+00:00,5,1,0
89,873981695710355526,2021-08-08 17:31:14.052000+00:00,22,1,0
90,873971713107435530,2021-08-08 16:51:34.014000+00:00,46,1,0
91,873761600765566976,2021-08-08 02:56:39.328000+00:00,22,1,0
92,873673890340147250,2021-08-07 21:08:07.533000+00:00,3,0,0
93,873673630641430640,2021-08-07 21:07:05.616000+00:00,4,0,0
94,873625198967029821,2021-08-07 17:54:38.605000+00:00,4,0,0
95,873486530805633074,2021-08-07 08:43:37.539000+00:00,10,0,0
96,873486453911470101,2021-08-07 08:43:19.206000+00:00,15,0,0
97,873486426522677269,2021-08-07 08:43:12.676000+00:00,3,0,0
98,873486317034553364,2021-08-07 08:42:46.572000+00:00,30,1,0
99,873442712970481684,2021-08-07 05:49:30.553000+00:00,5,0,0
100,873442694985289778,2021-08-07 05:49:26.265000+00:00,22,1,0
101,873054869475459102,2021-08-06 04:08:21.458000+00:00,2,0,0
102,873054855088971806,2021-08-06 04:08:18.028000+00:00,47,3,0
103,872910681672912896,2021-08-05 18:35:24.407000+00:00,5,0,0
104,872910661250859099,2021-08-05 18:35:19.538000+00:00,45,2,0
105,872300331172761601,2021-08-04 02:10:05.508000+00:00,30,0,0
106,872300205171683400,2021-08-04 02:09:35.467000+00:00,26,0,0
107,872300187350089730,2021-08-04 02:09:31.218000+00:00,30,0,0
108,872300152445096017,2021-08-04 02:09:22.896000+00:00,3,0,0
109,872299811456573500,2021-08-04 02:08:01.598000+00:00,32,0,0
110,872299746566504489,2021-08-04 02:07:46.127000+00:00,25,0,0
111,872299640014377052,2021-08-04 02:07:20.723000+00:00,28,2,0
112,872294711497465977,2021-08-04 01:47:45.673000+00:00,1,0,0
113,872294449118588948,2021-08-04 01:46:43.117000+00:00,14,2,0
114,872293287917133854,2021-08-04 01:42:06.265000+00:00,93,1,0
115,872292859724853258,2021-08-04 01:40:24.176000+00:00,2,0,0
116,871965769221668924,2021-08-03 04:00:39.723000+00:00,7,0,0
117,871965639382818908,2021-08-03 04:00:08.767000+00:00,11,0,0
118,871965608307195925,2021-08-03 04:00:01.358000+00:00,5,0,0
119,871965598400274463,2021-08-03 03:59:58.996000+00:00,22,1,0
120,871858762464493609,2021-08-02 20:55:27.324000+00:00,24,2,0
121,871613962020585524,2021-08-02 04:42:42.350000+00:00,8,0,0
122,870924439502585898,2021-07-31 07:02:47.371000+00:00,19,0,0
123,870924428274462730,2021-07-31 07:02:44.694000+00:00,5,0,0
124,870885096243228743,2021-07-31 04:26:27.207000+00:00,5,0,0
125,870885086038458398,2021-07-31 04:26:24.774000+00:00,22,1,0
126,870818302082056302,2021-07-31 00:01:02.238000+00:00,4,0,0
127,870817309227384852,2021-07-30 23:57:05.523000+00:00,54,1,0
128,870817229191671888,2021-07-30 23:56:46.441000+00:00,2,0,0
129,870805374150783006,2021-07-30 23:09:39.979000+00:00,80,4,0
130,870752232600121354,2021-07-30 19:38:30.046000+00:00,37,2,0
131,870728240929599569,2021-07-30 18:03:09.986000+00:00,22,1,0
132,870728136214593586,2021-07-30 18:02:45.020000+00:00,22,1,0
133,870723747827556412,2021-07-30 17:45:18.747000+00:00,30,2,0
134,870552184243232768,2021-07-30 06:23:34.801000+00:00,5,0,0
135,870541971444359219,2021-07-30 05:42:59.880000+00:00,1,0,0
136,870541952825847839,2021-07-30 05:42:55.441000+00:00,24,2,0
137,870441372476391475,2021-07-29 23:03:15.217000+00:00,5,1,0
138,870376011634720818,2021-07-29 18:43:31.978000+00:00,28,1,0
139,870185883050082374,2021-07-29 06:08:01.791000+00:00,45,2,0
140,870180474629271562,2021-07-29 05:46:32.323000+00:00,22,0,0
141,870180466563616798,2021-07-29 05:46:30.400000+00:00,7,0,0
142,870167344301891584,2021-07-29 04:54:21.809000+00:00,17,0,0
143,870166294438232134,2021-07-29 04:50:11.502000+00:00,20,0,0
144,869370238653829201,2021-07-27 00:06:57.013000+00:00,27,1,0
145,868899638806200341,2021-07-25 16:56:57.266000+00:00,5,0,0
146,868896918124781640,2021-07-25 16:46:08.605000+00:00,47,2,0
147,868895874636451950,2021-07-25 16:41:59.818000+00:00,30,0,0
148,868895444661575690,2021-07-25 16:40:17.304000+00:00,24,0,0
149,868894629456646194,2021-07-25 16:37:02.944000+00:00,1,0,0
150,868894563346047027,2021-07-25 16:36:47.182000+00:00,24,1,0
151,868735018216849498,2021-07-25 06:02:48.659000+00:00,24,2,0
152,868726951605592064,2021-07-25 05:30:45.429000+00:00,20,0,0
153,868726911260577863,2021-07-25 05:30:35.810000+00:00,9,0,0
154,868722380573376555,2021-07-25 05:12:35.610000+00:00,28,0,0
155,868722299275206656,2021-07-25 05:12:16.227000+00:00,1,0,0
156,868715358222176286,2021-07-25 04:44:41.351000+00:00,1,0,0
157,868715335883305030,2021-07-25 04:44:36.025000+00:00,81,3,0
158,868708326526058516,2021-07-25 04:16:44.864000+00:00,28,1,0
159,868704630987698206,2021-07-25 04:02:03.779000+00:00,3,0,0
160,868704620111867904,2021-07-25 04:02:01.186000+00:00,4,0,0
161,867847191501864990,2021-07-22 19:14:54.275000+00:00,2,0,0
162,867840273098997850,2021-07-22 18:47:24.799000+00:00,41,1,0
